MatchID,TeamID,CircleEntry,ShotZone,OnTarget,TypeOfShot,PlayerID
4,11,3,3,1,HIT,1
4,11,1,6,1,FLICK,2
4,11,5,6,1,HIT,3
4,11,4,4,0,HIT,3
4,11,3,3,1,REVERSE,3
6,4,2,2,0,HIT,4
6,4,4,4,1,HIT,5
6,4,4,6,1,DEF,3
6,4,3,3,0,HIT,3
6,4,2,3,1,HIT,3
6,4,1,6,1,SLIDE,3
11,12,5,5,1,PUSH,6
11,12,4,3,0,HIT,5
11,12,5,6,0,NO SHOT,5
11,12,5,4,1,DEF,2
11,12,2,2,0,REVERSE,2
11,12,3,3,0,MISS TRAP,3
11,12,1,1,1,PUSH,3
11,12,1,6,0,PUSH,3
11,12,5,5,1,PUSH,3
11,12,4,3,1,REVERSE,3
11,12,3,3,0,HIT,7
18,3,1,2,0,REVERSE,8
18,3,3,3,0,NO SHOT,10
18,3,4,4,0,REVERSE,6
18,3,5,3,1,HIT,5
18,3,2,2,0,FLICK,2
18,3,4,4,1,HIT,2
18,3,4,4,1,REVERSE,2
18,3,5,6,1,DIVING SLAP,3
18,3,4,4,0,FLICK,3
18,3,3,3,0,HIT,3
18,3,4,3,1,HIT,3
18,3,3,3,0,REVERSE,3
18,3,1,1,0,PUSH,16
23,1,2,2,1,HIT,6
23,1,4,6,0,PUSH,6
23,1,4,4,0,PUSH,6
23,1,3,3,0,NO SHOT,5
23,1,3,6,1,NO SHOT,5
23,1,3,6,0,PUSH,5
23,1,5,5,1,PUSH,7
23,1,5,6,1,REVERSE,7
23,1,5,4,1,REVERSE,7
26,5,2,2,1,REVERSE,5
26,5,3,3,0,HIT,2
26,5,3,3,1,SPIN,2
26,5,5,3,1,SLAP,7
31,2,3,3,1,REVERSE,8
31,2,4,4,0,HIT,9
31,2,5,4,0,SLAP,4
31,2,4,6,0,DEF,5
31,2,5,6,0,DEF,5
31,2,4,5,0,HIT,5
31,2,2,2,1,REVERSE,5
31,2,5,6,1,SLAP,5
31,2,3,3,0,LOB,2
31,2,4,6,0,SLAP,2
31,2,3,3,0,HIT,7
35,9,5,3,1,HIT,6
35,9,3,3,1,REVERSE,6
35,9,4,2,1,SLAP,6
35,9,3,3,0,REVERSE,15
35,9,2,6,1,DEF,5
35,9,4,6,1,PUSH,5
35,9,3,2,1,SLAP,2
35,9,2,6,0,DEF,7
45,5,2,4,0,NO SHOT,15
45,5,3,4,1,HIT,5
45,5,2,2,1,REVERSE,5
45,5,2,2,1,REVERSE,5
45,5,1,1,0,FLICK,2
50,2,2,6,1,FLICK,13
50,2,2,2,0,DEF,5
50,2,5,6,1,SLAP,5
50,2,4,4,1,HIT,7
50,2,2,6,1,PUSH,7
50,2,3,4,1,PUSH,7
50,2,5,6,1,SLAP,7
53,8,2,6,1,PUSH,1
53,8,2,1,0,REVERSE,6
53,8,3,4,0,SLAP,6
53,8,4,2,1,REVERSE,15
53,8,2,1,1,REVERSE,14
53,8,2,6,1,HIT,5
53,8,1,1,1,PUSH,5
53,8,2,3,0,PUSH,2
53,8,2,2,0,REVERSE,2
69,9,5,6,1,DEF,6
69,9,2,2,1,FLICK,6
69,9,4,5,0,PUSH,6
69,9,2,6,1,FLICK,15
69,9,2,3,1,REVERSE,4
69,9,2,2,1,REVERSE,4
69,9,5,6,1,SLAP,2
69,9,2,2,1,FLICK,3
69,9,3,6,1,SLAP,3
69,9,2,6,1,DEF,16
69,9,4,6,0,NO SHOT,16
71,4,4,5,0,HIT,15
71,4,4,1,0,NO SHOT,5
71,4,2,2,0,REVERSE,2
71,4,5,6,0,DEF,3
71,4,3,2,0,REVERSE,3
71,4,2,6,0,SLAP,3
71,4,4,6,0,SLAP,3
78,3,4,5,0,FLICK,8
78,3,2,6,1,REVERSE,13
78,3,4,6,1,OVERHEAD SMASH,12
78,3,3,3,0,DRAG,2
78,3,3,3,1,REVERSE,2
78,3,2,2,1,SLAP,2
78,3,5,6,0,PUSH,3
78,3,5,5,0,PUSH,3
78,3,3,2,1,REVERSE,3
78,3,4,6,1,SLAP,3
78,3,3,2,1,REVERSE,7
80,1,5,6,0,DEF,4
80,1,5,6,1,HIT,5
80,1,3,3,0,LOB,5
80,1,2,2,1,REVERSE,5
80,1,2,1,1,SLAP,5
80,1,5,6,1,SLAP,5
80,1,4,6,1,HIT,16
80,1,5,6,0,SLAP,16
83,11,5,5,1,PUSH,11
83,11,4,4,1,HIT,12
83,11,4,6,1,HIT,1
83,11,4,4,1,FLICK,6
83,11,3,2,1,SLAP,6
83,11,2,1,0,HIT,5
83,11,3,3,1,REVERSE,5
83,11,2,2,0,REVERSE,5
83,11,2,6,1,DEF,2
83,11,3,3,0,HIT,2
83,11,3,6,1,HIT,2
83,11,3,3,1,REVERSE,2
83,11,4,6,1,SPIN,2
83,11,4,3,0,REVERSE,3
83,11,3,6,0,REVERSE,3
87,8,5,6,0,DEF,13
87,8,3,6,1,PUSH,13
87,8,5,6,1,DEF,12
87,8,2,1,1,PUSH,12
87,8,4,6,1,DEF,6
87,8,5,6,1,HIT,6
87,8,4,4,1,PUSH,6
87,8,3,6,1,PUSH,15
87,8,2,2,1,HIT,14
87,8,3,3,1,REVERSE,14
87,8,5,6,0,DEF,3
87,8,5,6,1,SLAP,3
87,8,2,2,0,REVERSE,7
87,8,4,6,1,NO SHOT,16
